Block,Rows_num,L_c,R,G,t_G,Repetition,F_max,Impulse,u_01,u_12,u_23,WG0_max,WG1_max,WG2_max,WG3_max,Ref_WG0_max,Ref_WG1_max,Ref_WG2_max,Ref_WG3_max,Ref_u_01,Ref_u_12,Ref_u_23,q_max_0,V_0,p_dot_max_0,p_0,Deflection
A,3,0.6795,800,100,1,2,220.8896487,637.7305753,2.989130435,1.687116564,1.123595506,0.076625054,0.106936552,0.092250748,0.030507334,0.08348159,0.064590651,0.052797582,0.049118458,3.078375058,2.815580971,3.058659483,0.21966338,0.300368342,608.954108,654.3323446,Emerged
A,3,0.6795,800,100,1,1,240.1799171,691.1162807,2.989130435,1.681957187,1.418439716,0.082902605,0.119466518,0.096343115,0.033703083,0.08348159,0.064590651,0.052797582,0.049118458,3.078375058,2.815580971,3.058659483,0.21966338,0.300368342,608.954108,654.3323446,Emerged
A,3,0.6795,800,100,1,2,236.6433678,637.7305753,2.989130435,1.746031746,1.388888889,0.080659903,0.125169203,0.094348333,0.03260306,0.08348159,0.064590651,0.052797582,0.049118458,3.078375058,2.815580971,3.058659483,0.21966338,0.300368342,608.954108,654.3323446,Emerged
A,3,0.6795,800,100,2,1,258.8271765,1127.954568,2.972972973,1.641791045,2.53164557,0.099770833,0.1229407,0.113726726,0.061264493,0.093164951,0.09012434,0.090078148,0.074986088,3.103968579,2.777884378,2.787892525,0.242316003,0.553157535,661.1465154,1333.637268,Transition
A,3,0.6795,800,100,2,2,277.5226617,1042.387898,2.941176471,1.666666667,2.53164557,0.100641105,0.137950768,0.102282106,0.069439778,0.093164951,0.09012434,0.090078148,0.074986088,3.103968579,2.777884378,2.787892525,0.242316003,0.553157535,661.1465154,1333.637268,Transition
A,3,0.6795,800,200,1,1,405.1599378,1298.313351,3.767123288,2.370689655,2.985074627,0.106819334,0.131377298,0.114932159,0.065209961,0.10502444,0.102463767,0.071523192,0.07181276,3.697016504,3.319707323,3.750736023,0.331806977,0.564972731,1093.819897,1496.331177,Transition
A,3,0.6795,800,200,1,2,396.1578125,1388.478059,3.571428571,2.291666667,2.941176471,0.109378577,0.134985463,0.099979398,0.060648831,0.10502444,0.102463767,0.071523192,0.07181276,3.697016504,3.319707323,3.750736023,0.331806977,0.564972731,1093.819897,1496.331177,Transition
A,4,0.906,400,200,2,1,219.3303519,1019.755734,2.534562212,1.230425056,1.360544218,0.09258636,0.160425668,0.083637266,0.043026774,0.091755435,0.087167872,0.068599394,0.06232713,2.590820531,2.483510182,2.542738538,0.184646937,0.4946573,406.593,896.3623799,Emerged
A,4,0.906,400,200,2,2,255.0012733,1020.190448,2.511415525,1.285046729,1.550387597,0.096107686,0.161487911,0.088832168,0.045459869,0.091755435,0.087167872,0.068599394,0.06232713,2.590820531,2.483510182,2.542738538,0.184646937,0.4946573,406.593,896.3623799,Emerged
A,4,0.906,400,300,1,1,179.1262175,624.2445237,2.546296296,1.12244898,1.212121212,0.079886639,0.135592223,0.065196525,0.031128327,0.081521456,0.067832272,0.048733791,0.047638836,2.640913909,2.547490216,2.624250086,0.164105374,0.339825952,357.5510933,556.0606835,Emerged
